Concepto,Menciones
M6A,546
CELL,376
MRNA,221
MODIFICATION,180
YTHDF2,165
GENE,151
MSUP6 SUPA,144
PROTEINS,141
AUTOPHAGY,136
VASCULAR,135
SMC,133
REGULATION,120
SMOOTH,114
BINDING,110
DIFFERENTIATION,109
DEVELOPMENT,108
METTL3,104
SIGNALING,103
METHYLADENOSINE,99
DISEASE,99
CANCER,98
CELLULAR,94
INDUCED,94
PATHWAY,92
METHYLATION,91
MODIFICATIONS,89
SITES,89
PROLIFERATION,86
COMPLEX,85
MRNAS,85
DEGRADATION,83
GROWTH,83
MEDIATED,81
DEPENDENT,77
TRANSCRIPTIONAL,75
ACTIVITY,75
MOST,75
MECHANISMS,73
HOW,73
FUNCTIONS,72
STRESS,72
VSMCS,71
LIKE,71
STUDIES,68
FINDINGS,64
N6 METHYLADENOSINE M6A,63
FORMATION,62
MICE,62
PHENOTYPE,61
MIR,61
FTO,61
ACTIVATION,60
SINGLE,60
OTHER,59
INHIBITION,58
CHROMATIN,58
M6A MODIFICATION,57
REGULATED,57
DISEASES,57
KEY,57
PROCESSES,56
VIVO,56
IMPORTANT,55
CONTROL,55
RECENT,55
REVIEW,55
DNA,55
BIOLOGICAL,54
TARGET,53
TGF,53
FUNCTIONAL,52
CHANGES,52
TRANSLATION,51
REGULATORY,51
STABILITY,51
PATHWAYS,51
FACTORS,51
MAMMALIAN,50
MOUSE,50
FOUND,49
KNOWN,49
MANY,49
TRANSCRIPTS,48
REGULATING,48
CONTAINING,48
IMMUNE,48
REVEALED,47
NUCLEAR,47
WITHIN,47
FURTHERMORE,46
MULTIPLE,46
TUMOR,46
HIGH,46
UNDERSTANDING,45
INFLAMMATORY,45
ENDOTHELIAL,45
PHENOTYPIC,45
IDENTIFY,45
SUGGEST,45
DOMAIN,45
